id,titulo,precio_usd,dormitorios,banos,m2,m2_construidos,zona,latitud,longitud,anio_construccion,antiguedad_anos,es_proyecto,estado,link,imagen
193180342,VENTA DEPARTAMENTO EN LA BARRA 2 DORMITORIOS A ESTRENAR!,375000.0,2.0,1.0,146.0,146.0,La Barra,-34.913948,-54.855896,2026.0,,False,1,https://www.infocasas.com.uy/venta-departamento-en-la-barra-2-dormitorios-a-estrenar/193180342,https://cdn1.infocasas.com.uy/repo/img/176534791_CW229223_850.jpg
192955538,Departamento - Playa Brava,650000.0,3.0,2.0,199.0,131.0,Playa Brava,-34.9441658,-54.9217472,,,False,1,https://www.infocasas.com.uy/departamento-playa-brava/192955538,https://cdn1.infocasas.com.uy/web/68e4bff69e033_infocdn.jpg
193093103,Venta y alquiler temporario de apartamento de 1 dormitorio a pasos de playa Brava,175000.0,1.0,1.0,43.0,52.0,Aidy Grill,0,0,2021.0,,False,1,https://www.infocasas.com.uy/venta-y-alquiler-temporario-de-apartamento-de-1-dormitorio-a-pasos-de-playa-brava/193093103,https://cdn1.infocasas.com.uy/repo/img/173452776_DPT-1242-TRA_924.jpg
193085549,"Apartamento en venta de 4 dormitorios, Playa Mansa",1600000.0,4.0,5.0,258.0,258.0,Playa Mansa,0,0,,,False,1,https://www.infocasas.com.uy/apartamento-en-venta-de-4-dormitorios-playa-mansa/193085549,https://cdn1.infocasas.com.uy/repo/img/176030818_CDV-26-TRA_962.jpg
192162310,(BPV-BPV-8794)  Apartamento EN venta 1 DORMITORIO,185000.0,1.0,1.0,43.0,35.0,Punta del Este,-34.95313789950189,-54.932884610065614,2025.0,,False,1,https://www.infocasas.com.uy/bpvbpv8794-apartamento-en-venta-1-dormitorio/192162310,https://cdn1.infocasas.com.uy/repo/img/279_BPV-BPV-8794_904.jpg
191778356,Venta - Departamento - 2 dormitorio - Punta Del Este - Playa Mansa,170000.0,2.0,2.0,58.0,0.0,Playa Mansa,-34.92080467849919,-54.969832010108945,,,False,1,https://www.infocasas.com.uy/venta-departamento-2-dormitorio-punta-del-este-playa-mansa/191778356,https://cdn1.infocasas.com.uy/web/6758024b481bb_infocdn.jpg
191988929,Departamento duplex  con jardin frente al mar  en Punta Ballena - Lomo de la Ballena,446000.0,2.0,2.0,111.0,0.0,Punta Ballena,-34.9116814,-55.0446882,,,False,1,https://www.infocasas.com.uy/departamento-duplex-con-jardin-frente-al-mar-en-punta-ballena-lomo-de-la-ballena/191988929,https://cdn1.infocasas.com.uy/web/67a73ac53dc5f_infocdn.jpg
191300981,Venta apartamento 2 dormitorios playa brava primera linea - punta del este,850000.0,2.0,2.0,120.0,163.0,Playa Brava,-34.94659871962099,-54.92260103424071,2022.0,,False,1,https://www.infocasas.com.uy/venta-apartamento-2-dormitorios-playa-brava-primera-linea-punta-del-este/191300981,https://cdn1.infocasas.com.uy/repo/img/694874_DMC-9648-TRA_360.jpg
191989351,Departamento 3 dormitorios -  Frente Al Mar - Edificio Tiburón 3 - Playa Brava - Punta del Este,1050000.0,3.0,3.0,260.0,222.0,Playa Brava,-34.9563509139,-54.938124291,,,False,1,https://www.infocasas.com.uy/departamento-3-dormitorios-frente-al-mar-edificio-tiburon-3-playa-brava-punta-del-este/191989351,https://cdn1.infocasas.com.uy/web/67a7504264137_infocdn.jpg
191009498,Departamento en venta Fendi Chateau 4 dormitorios Playa Mansa Punta del Este,3700000.0,4.0,3.0,488.0,380.0,Playa Mansa,-34.9615408,-54.9430621,,,False,1,https://www.infocasas.com.uy/departamento-en-venta-fendi-chateau-4-dormitorios-playa-mansa-punta-del-este/191009498,https://cdn1.infocasas.com.uy/web/6652dda32f31c_infocdn.jpg
